text,label
Vodafone 2 ay önce hatalı bilgiyle tarife değişikliği yapıp 190760 TL borç çıkardı. Taahhüt bozuldu hattım kapalı. Müşteri memnuniyeti sıfır!,Sözleşme ve Taahhüt Şikayetleri
"Nakil süresini 7 iş günü diye taahhüt ettiler fakat 35 gün oldu hala sonuç yok. Şimdi iptal ettirmek istiyorum, onu da yapmıyorlar. Her telefona çıkan temsilci başka bahane söylüyor. Ortak bahaneleri sistemleri bozukmuş, yazıklar olsun superonline benim aylık 49 lirama kalmış ki iptal işlemi bile yapamıyor. Arkadaşlar sakın bulaşmayın bence superonline'a çok mağdur olursunuz.",Teknik Şikayetler
Net Supernete Devam paketini iptal ettiremiyorum. Bu nasıl bir sistem?,Ürün ve Hizmet Spesifik Şikayetler
"Ankara Etimesgut 1773. caddede oturuyorum akşam 18:00'dan sonra Vodafone interneti yaklaşık 3 aydan beri hiç çekmiyor defalarca müşteri hizmetlerini aramama rağmen çekim gücünde hiçbirşey yok denilerek beni sallıyorlar, be arkadaş işim yok sizinle muhabbet için mi arıyorum sanki, sitede oturan vodafone kullananlarda bu durumdan şikayetçi benim 1 yıllık taahhüdüm var Eylül'de bitecek bundan sonra tövbeler tövbesi kullanmam vodafone'u çünkü sıkıntı apaçık ortada sorun yok diyorlar yeni hat alacaklar yada vodafone'a geçmeyi düşünenler sakın ha sakın çok sıkıntı yaşarsınız sıkıntıyı çözme yönünde de hiçbirşey yapmayıp yalancı çıkarıyorlar tavsiyem vodafone kesinlikle almayın kullanmyın tavsiyede etmeyin, bu benim nacizane fikrim kimseyi bağlamaz.",Müşteri Hizmetleri Şikayetleri
Acil bir çözüm bulun! Bu kadar uzun süre beklemek zorunda kalmak istemiyorum.,Müşteri Hizmetleri Şikayetleri
"Vodafone'dan şirketime usulsüz, haberimiz olmadan açılan hatlar adına eksik ödeme için İlhan duman avukatlık bürosundan arandık, İlhan duman av. bürosuna 2014'te belirttikleri tarihlerde Vodafone kullanmadığımızı söyledik yapacak bir şey yok Vodafone'u arayın dediler. Vodafone'u aradığımızda 10 ay kullanılmış hattımız olduğunu fakat borcunun olmadığını ödeme tarihleriyle verdiler. Av. bürosuna işlemi durdursun dediler. Av. Bürosunu tekrar aradım onlar da Vodafone bizi arasın dediler defalarca bu şekilde her iki taraf topu birbirlerine atarak beni ortada bıraktılar Ben de çaresiz ne olacaksa olsun haczemi koyacaksınız ne yapacaksanız yapın haklı haksız ortaya çıksın dedim çünkü borçsuz olduğum kesindi. Av. bürosu da işlemi başlatmış fakat bu konuşmaların olduğu tarihte Vodafone kullandığımız için bütün güncel fatura dahil hepsini hacze koymuş, yani güncel faturalarımızdan haciz başlatıldı. Eski faturalarımızdan bahseden yok.",Teknik Şikayetler
"Kayseri Melikgazi ilçesinde Adsl kullanıcısıyım. İnternette hız, upload v.b gibi şeylerde problem olmamasına rağmen oyunlarda yüksek pinge maruz kalıyorum. Bu arada belirtmek isterim internete tek ben bağlıyım, vpn dns v.b şeyler kullanmıyorum, bunlara rağmen ping sorunum var. Müşteri hizmetlerini aradım Murat diye birine derdimi anlatıyorum. Diyor ki hattınızda problem yok işlem yapamayız. Ben de dedim hattımı koparmam mı lazım işlem yapmanız için. Sesini yükseltti aynı şeyi tekrarlardı. Şimdi ben oyun oynayamayacaksam bu interneti neden aldım, soruyorum size?",Müşteri Hizmetleri Şikayetleri
"Merhaba, 553** numaralı Turkcell Superonline kullanıcısıyım aynı zamanda Turkcell Tv kullanıyorum. Bir ara yaklaşık 2 ay Turkcell Tv kullanımı yapamamıştım. Bu süreçte bir şey yok vs diyere geçiştirildi fakat tanıdığım bir çalışan port patladığını bu yüzden bu durumun yaşandığını söyledi. Her neyse o dönem geçti yaklaşık 2 aydır da internet hız problemim var. Aradıklarında 28 mb hız olduğunu söylüyorlar fakat zamannda kullanmış olduğumuz 145 ve 146 çevirmeli ağlar bundan çok daha iyiydi. Arkadaşlar benden size tavsiye kesinlikle almayın bu sözde Fibernet'i. Zaten şu 2 yıllık anlaşmam bitsin ben de bitireceğim. Şimdi arayacaklar müşteri hizmetlerinden ama bir sonuç olmayacak eminim.",Teknik Şikayetler
Superonline nakil sürecim hâlâ sonuçlanmadı. Sık sık arıza yaşıyorum ve bu sorunu çözemediniz!,Abonelik ve İşlem Şikayetleri
2 saatte 250 TL gitti. Bu nasıl bir tarife bu kadar pahalı olmamalı!,Fatura ve Ödeme Şikayetleri
